name,count,mean,std,min,25%,50%,75%,max
FanOut,1619,9.691167387276096,12.525957811429846,0.0,3.0,5.0,11.0,131.0
FanIn,1619,4.576281655342804,10.726436768335288,0.0,1.0,2.0,4.0,133.0
CouplingBetweenObjects,1619,13.758492896849907,17.842820307916092,0.0,5.0,8.0,16.0,212.0
DepthOfInheritance,1619,1.1395923409512045,1.1344836856339993,0.0,0.0,1.0,2.0,7.0
LackOfCohesionInMethods,1619,0.8097591105620754,2.1170048176740113,0.0,0.0,0.0,1.0,33.0
LinesOfCode,1619,37.95799876466955,269.3474341106668,1.0,2.0,6.0,19.0,7875.0
SourceLinesOfCode,1619,34.44471896232242,267.4099548113885,1.0,2.0,6.0,18.0,7875.0
CommentLinesOfCode,1619,3.1680049413218034,12.531895096887215,0.0,0.0,0.0,0.0,165.0
CommentDensity,1619,0.0496298579986171,0.12774378060289165,0.0,0.0,0.0,0.0,0.8113207547169812
NumberOfChildren,1619,0.4836318715256331,2.132843445911713,0.0,0.0,0.0,0.0,46.0
ResponseForClass,1619,5.823965410747375,12.648593440909318,0.0,0.0,2.0,6.0,267.0
WeightedMethodCount,1619,3.5219271155033973,9.455836177551205,0.0,0.0,1.0,3.0,148.0
CyclomaticComplexity,1619,1.035018561592034,1.882028447447891,0.0,0.0,1.0,1.0,41.5
DepthOfNesting,1619,0.6388257622123832,2.0907195404710386,0.0,0.0,0.0,0.0,25.0
OutDegree,1619,2.916327369812907,6.597461389226047,0.0,0.0,1.0,3.0,81.71428571428571
OutDegreeDistinct,1619,1.3028563337155215,2.0402664416704743,0.0,0.0,1.0,2.0,25.0
PatternSize,1619,1.3336166864066004,5.500078328867756,0.0,0.0,0.0,0.0,88.42857142857143
NumberOfPatternVariables,1619,0.23493723559147314,1.0335279887490636,0.0,0.0,0.0,0.0,17.0
ParadigmEntropyFraction,1619,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
ParadigmGiniFraction,1619,0.454555992459934,0.4715530811582639,0.0,0.0,0.25,1.0,1.0
